city,site,season,species,count,lat,long,days.active,utm_est,utm_nrt,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,city_site,Impervious,med_income,Pct_Units_Lead,PM2.5_Count,Average_PTSDF,Prox_Heavy_Traffic_Roadways,Average_PNPL,Average_RSEI_Concentrations,Average_PWDIS,Annual_Tons_Km2_Diesel_NOx,LEAD_PCT,PM25_PCT,HAZARD_PCT,TRAFFIC_PCT,PNPL_PCT,TOXIC_PCT,PWDIS_PCT,DIESEL_PCT,EXPOSURE,EFFECT,BURDEN,BURDEN_SCALED,BURDEN_PERCENTILE,pop_density
tawa,P-RWSR,Fall20,Black bear,1,46.9255981445312,-122.268463134766,36,555692.569135826,5197155.86846695,0.186426116838488,0,0,0,0.0332187857961054,0.325028636884307,0,0.0243413516609393,0,0.0151775486827033,0,0,0,0.0650057273768614,0.0538373424971363,0.00229095074455899,0.101088201603666,0.193585337915235,0,22.75,2.86368843069874,61.1874761359297,66.1387308432126,0.986005200059287,0.5446735395189,0.0243413516609393,0.0151775486827033,0.56901489117984,0.584192439862543,0.651489117983963,0.154925544100802,tawa_P-RWSR,2.68585337915235,69014.544921875,148.85714285714286,11.428571428571429,1.1428571428571428,270.7142857142857,2,383,103.71428571428572,6.142857142857143,12,2,3,65,10,66,9,3,23.666666666666668,4.25,18.61111111111111,2.955447728275254,8,42.0694149865044
tawa,P-RWSR,Winter19,Bobcat,3,46.9255981445312,-122.268463134766,35,555692.569135826,5197155.86846695,0.186426116838488,0,0,0,0.0332187857961054,0.325028636884307,0,0.0243413516609393,0,0.0151775486827033,0,0,0,0.0650057273768614,0.0538373424971363,0.00229095074455899,0.101088201603666,0.193585337915235,0,22.75,2.86368843069874,61.1874761359297,66.1387308432126,0.986005200059287,0.5446735395189,0.0243413516609393,0.0151775486827033,0.56901489117984,0.584192439862543,0.651489117983963,0.154925544100802,tawa_P-RWSR,2.68585337915235,69014.544921875,148.85714285714286,11.428571428571429,1.1428571428571428,270.7142857142857,2,383,103.71428571428572,6.142857142857143,12,2,3,65,10,66,9,3,23.666666666666668,4.25,18.61111111111111,2.955447728275254,8,42.0694149865044
tawa,P-RWSR,Summer19,Bobcat,1,46.9255981445312,-122.268463134766,36,555692.569135826,5197155.86846695,0.186426116838488,0,0,0,0.0332187857961054,0.325028636884307,0,0.0243413516609393,0,0.0151775486827033,0,0,0,0.0650057273768614,0.0538373424971363,0.00229095074455899,0.101088201603666,0.193585337915235,0,22.75,2.86368843069874,61.1874761359297,66.1387308432126,0.986005200059287,0.5446735395189,0.0243413516609393,0.0151775486827033,0.56901489117984,0.584192439862543,0.651489117983963,0.154925544100802,tawa_P-RWSR,2.68585337915235,69014.544921875,148.85714285714286,11.428571428571429,1.1428571428571428,270.7142857142857,2,383,103.71428571428572,6.142857142857143,12,2,3,65,10,66,9,3,23.666666666666668,4.25,18.61111111111111,2.955447728275254,8,42.0694149865044
tawa,P-OLT,Spring20,Bobcat,2,46.9126510620117,-122.272743225098,51,555380.062134469,5195714.10390745,0.239161642262417,0,0,0,0.0189491817398794,0.455641688199828,0,0.0166523112259546,0,0.00746482917025553,0,0,0,0.0401952339936836,0.0746482917025553,0,0.0677576801607809,0.0795291415446454,0,40.65,1.91405876160398,71.6815006220691,60,0.772691479420889,0.713752512202125,0.0166523112259546,0.00746482917025553,0.730404823428079,0.737869652598335,0.778064886592018,0.142405971863336,tawa_P-OLT,1.85027197251646,64019,66,4,0,350,1,382,14,3,2,1,1,74,4,65,2,1,22.333333333333332,1.125,15.638888888888888,2.4834583149536833,3,27.396270535209
tawa,P-OLT,Summer20,Bobcat,5,46.9126510620117,-122.272743225098,44,555380.062134469,5195714.10390745,0.239161642262417,0,0,0,0.0189491817398794,0.455641688199828,0,0.0166523112259546,0,0.00746482917025553,0,0,0,0.0401952339936836,0.0746482917025553,0,0.0677576801607809,0.0795291415446454,0,40.65,1.91405876160398,71.6815006220691,60,0.772691479420889,0.713752512202125,0.0166523112259546,0.00746482917025553,0.730404823428079,0.737869652598335,0.778064886592018,0.142405971863336,tawa_P-OLT,1.85027197251646,64019,66,4,0,350,1,382,14,3,2,1,1,74,4,65,2,1,22.333333333333332,1.125,15.638888888888888,2.4834583149536833,3,27.396270535209
tawa,P-OLT,Fall19,Bobcat,4,46.9126510620117,-122.272743225098,38,555380.062134469,5195714.10390745,0.239161642262417,0,0,0,0.0189491817398794,0.455641688199828,0,0.0166523112259546,0,0.00746482917025553,0,0,0,0.0401952339936836,0.0746482917025553,0,0.0677576801607809,0.0795291415446454,0,40.65,1.91405876160398,71.6815006220691,60,0.772691479420889,0.713752512202125,0.0166523112259546,0.00746482917025553,0.730404823428079,0.737869652598335,0.778064886592018,0.142405971863336,tawa_P-OLT,1.85027197251646,64019,66,4,0,350,1,382,14,3,2,1,1,74,4,65,2,1,22.333333333333332,1.125,15.638888888888888,2.4834583149536833,3,27.396270535209
tawa,P-OLT,Fall20,Bobcat,2,46.9126510620117,-122.272743225098,36,555380.062134469,5195714.10390745,0.239161642262417,0,0,0,0.0189491817398794,0.455641688199828,0,0.0166523112259546,0,0.00746482917025553,0,0,0,0.0401952339936836,0.0746482917025553,0,0.0677576801607809,0.0795291415446454,0,40.65,1.91405876160398,71.6815006220691,60,0.772691479420889,0.713752512202125,0.0166523112259546,0.00746482917025553,0.730404823428079,0.737869652598335,0.778064886592018,0.142405971863336,tawa_P-OLT,1.85027197251646,64019,66,4,0,350,1,382,14,3,2,1,1,74,4,65,2,1,22.333333333333332,1.125,15.638888888888888,2.4834583149536833,3,27.396270535209
tawa,P-OV1,Winter19,Bobcat,4,46.8688468933105,-122.341804504395,NA,550161.93814763,5190799.98210888,0.146865158889207,0,0,0,0.0151732035499571,0.290008588605783,0,0.0807328943601489,0,0.0334955625536788,0,0,0,0.111365588319496,0.233896364156885,0,0.088462639564844,0,0,17.7525,3.81715812577536,76.6294493749404,65.5901699437495,0.818055676876221,0.452046951044947,0.0807328943601489,0.0334955625536788,0.532779845405096,0.566275407958775,0.677640996278271,0.322359003721729,tawa_P-OV1,2.20017206767995,68624.3479352679,144.85714285714286,16.214285714285715,0.21428571428571427,311.64285714285717,1.2142857142857142,359.2857142857143,13.357142857142858,3.4285714285714284,11,4,2,70,6,61,1,2,22.333333333333332,2.5,16.555555555555554,2.62902514336127,6,12.2431306924139
tawa,P-TE1,Spring20,Bobcat,1,46.9221954345703,-122.279510498047,50,554854.999593241,5196769.95956216,0.19868119266055,0,0,0,0.0154816513761468,0.309059633027523,0,0.0295298165137615,0,0.0352637614678899,0,0,0,0.0269495412844037,0.126433486238532,0,0.149082568807339,0.109518348623853,0,14.85,4.14118246687054,82.664373088685,68.8652751991472,1.08641868816799,0.52322247706422,0.0295298165137615,0.0352637614678899,0.552752293577982,0.588016055045872,0.614965596330275,0.275516055045872,tawa_P-TE1,3.78479196556671,68179.7857142857,166.57142857142858,16,1.1428571428571428,276,1.8571428571428572,385.7142857142857,103.71428571428572,8.428571428571429,19,3,4,66,8,67,10,4,24.666666666666668,5.125,19.86111111111111,3.1539479488310542,11,59.9719880421956
tawa,G-FP1,Winter19,Coyote,4,47.2466049194336,-122.480010986328,36,539350.160475069,5232700.12957937,5.7339449541284e-4,0,0,0,0,0.00315366972477064,0,0,0,0,0,0,0,0,0,0,0.996272935779816,0,0,0.585,0.63710499490316,1.52905198776758,295.465734053883,0.0245623542108796,0.00372706422018349,0,0,0.00372706422018349,0.00372706422018349,0.00372706422018349,0.996272935779816,tawa_G-FP1,22.8812733008317,65984.6118861607,322.57142857142856,115,235,59,45.42857142857143,122.42857142857144,328,163.57142857142858,53,29,51,6,61,24,57,26,26.333333333333332,27.75,36.05555555555555,5.7256285840317585,26,2538.63507734026
