"city","site","utm_est","utm_nrt","for_ever_temp","for_ever_taig","for_ever_trop","for_dec_trop","for_dec_temp","for_mix","shrub_trop","shrub_temp","grass_trop","grass_temp","shrub_lich","grass_lich","barren_lich","wetland","cropland","barren","urban","water","ice","mpa_undev","pd_undev","ed_undev","enn_mn_undev","sdhi","for_all","shrub_all","grass_all","veg_woody","veg_all","natural","develop","city_site","Impervious"
"sewa","BGP1",553796.796285342,5279517.31364689,0,0,0,0,0,0,0,0.00373241458512776,0,0,0,0,0,0,0.00574217628481194,0.00258397932816537,0.987941429801895,0,0,0.495,1.27603917440265,4.78514690400995,496.416847772038,0.0736047763108496,0,0.00373241458512776,0,0.00373241458512776,0.00373241458512776,0.00631639391329314,0.993683606086707,"sewa_BGP1",22.796843615495
"sewa","BGP2",553808.725451341,5279445.17771229,0,0,0,0,0,0,0,0.00372386135777714,0,0,0.988541965052993,0,0,0.000286450873675165,0.0048696648524778,0.00257805786307648,0.988541965052993,0,0,0.414,1.5913937426398,4.96514847703619,524.412698831209,0.0704115455391422,0,0.99226582641077,0,0.99226582641077,0.99226582641077,0.995130335147522,0.993411629905471,"sewa_BGP2",22.783768282191
"sewa","BRF1",557238.619428821,5258255.44006434,0.00719010641357492,0,0,0,0.0161058383664078,0.0094909404659189,0,0.0106413574920909,0,0.0132297958009779,0,0,0,0.0986482599942479,0.0123669830313489,0.0779407535231521,0.743169398907104,0.0112165660051769,0,6.0825,3.83472342057329,56.7539066244847,121.51769863164,0.664814850739665,0.0327868852459016,0.0106413574920909,0.0132297958009779,0.0434282427379925,0.0566580385389704,0.23324705205637,0.755536381938453,"sewa_BRF1",17.8264866417696
"sewa","DOS1",577397.854540358,5288560.45116562,0.0498567335243553,0,0,0,0.026647564469914,0.377363896848138,0,0.0297994269340974,0,0.0180515759312321,0,0,0,0.151289398280802,0.1,0,0.243266475644699,0.00372492836676218,0,29.3014285714286,2.22858962113976,67.4307545367717,63.550401963198,0.873261305647792,0.453868194842407,0.0297994269340974,0.0180515759312321,0.483667621776504,0.501719197707736,0.653008595988539,0.343266475644699,"sewa_DOS1",6.2959242250287
"sewa","DRP2",548034.42652612,5276880.51969878,0.0071694866647548,0,0,0,0.00315457413249211,0.00286779466590192,0,0,0,0,0,0,0,0,0,0.0174935474620017,0.93977631201606,0.0295382850587898,0,1.20375,2.54915081413504,18.5450721728324,160.061345159392,0.269315518754489,0.0131918554631488,0,0,0.0131918554631488,0.0131918554631488,0.0306854029251506,0.93977631201606,"sewa_DRP2",21.563323782235
"sewa","DSP1",543592.552718432,5278652.78814036,0.0171919770773639,0,0,0,0.260171919770774,0.0507163323782235,0,0.0163323782234957,0,0.0108882521489971,0,0,0,0.0263610315186246,0.0212034383954155,0.0346704871060172,0.378223495702006,0,0,14.53,2.86532951289398,65.9980897803247,80.9186588439132,1.12591028043554,0.328080229226361,0.0163323782234957,0.0108882521489971,0.344412607449857,0.355300859598854,0.416332378223496,0.399426934097421,"sewa_DSP1",8.98024054982818
"sewa","DWP1",551163.885618272,5264504.42898272,0,0,0,0,0,0,0,0.00487944890929966,0,0.00143513203214696,0,0,0,0,0,0.0034443168771527,0.927956371986223,0.062284730195178,0,3.06,0.318918229365991,6.12323000382702,NA,0.287468214280788,0,0.00487944890929966,0.00143513203214696,0.00487944890929966,0.00631458094144661,0.00975889781859931,0.927956371986223,"sewa_DWP1",21.8284482758621
"sewa","FGL1",555550.997926547,5259252.83392118,0,0,0,0,0.00344332855093257,0.00803443328550933,0,0.00746054519368723,0,0.00832137733142037,0,0,0,0.00200860832137733,0.00487804878048781,0.00143472022955524,0.953228120516499,0.0111908177905308,0,1.605,1.91296030607365,15.8775705404113,216.925824035673,0.228853778204398,0.0114777618364419,0.00746054519368723,0.00832137733142037,0.0189383070301291,0.0272596843615495,0.0307030129124821,0.958106169296987,"sewa_FGL1",22.1552563735319
"sewa","FRD1",574359.722238973,5289105.40785173,0.0442528735632184,0,0,0,0.0758620689655172,0.328735632183908,0,0.0367816091954023,0,0.0195402298850575,0,0,0,0.152298850574713,0.214655172413793,0,0.127873563218391,0,0,34.32,1.91570881226054,90.3256704980843,60,0.869007325820969,0.448850574712644,0.0367816091954023,0.0195402298850575,0.485632183908046,0.505172413793103,0.657471264367816,0.342528735632184,"sewa_FRD1",3.14388282596209
"sewa","HCN1",552148.915784958,5262764.82648297,0,0,0,0,0.0142816338189089,0.00942587832047986,0,0.00571265352756355,0,0.0025706940874036,0,0,0,0.0111396743787489,0,0.0077120822622108,0.850042844901457,0.0991145387032276,0,2.67,1.90421784252118,19.5182328858421,137.360679774998,0.518667585921924,0.0237075121393887,0.00571265352756355,0.0025706940874036,0.0294201656669523,0.0319908597543559,0.0508426163953156,0.850042844901457,"sewa_HCN1",20.1851533390656
"sewa","HFW1",560642.258123687,5284025.10910684,0.0197594501718213,0,0,0,0.0163230240549828,0.0209049255441008,0,0,0,0.000286368843069874,0,0,0,0.0243413516609393,0,0.000286368843069874,0.918098510882016,0,0,2.34,3.50006363752068,27.3004963726613,158.186381988605,0.283389080752193,0.0569873997709049,0,0.000286368843069874,0.0569873997709049,0.0572737686139748,0.081901489117984,0.918098510882016,"sewa_HFW1",21.4363011737761
"sewa","IRP1",553953.243189642,5282157.42418845,0.0174684994272623,0,0,0,0.00229095074455899,0.0357961053837343,0,0.00143184421534937,0,0,0,0,0,0.00515463917525773,0,0.00486827033218786,0.906930126002291,0.0260595647193585,0,2.6325,2.54550082728777,27.1095838106147,80.6705851807515,0.364769526502847,0.0555555555555556,0.00143184421534937,0,0.0569873997709049,0.0569873997709049,0.0670103092783505,0.906930126002291,"sewa_IRP1",21.533352419124
