city,site,utm_est,utm_nrt,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,city_site,Impervious,med_income
sewa,JBP1,559765.7105,5282773.694,0.014608995,0,0,0,0.089659123,0.034374105,0,0.005156116,0,0.001718705,0,0,0,0.083643655,0.005729017,0.001432254,0.732168433,0.031509596,0,4.528125,5.092459976,68.74820968,87.47306971,0.705070493,0.138642223,0.005156116,0.001718705,0.143798339,0.145517044,0.230592953,0.737897451,sewa_JBP1,17.3955288,129900.9347
sewa,LTP1,545529.5416,5278115.226,0,0,0,0,0.013781223,0.005167959,0,0.013494114,0,0,0,0,0,0.011197244,0.002583979,0.003445306,0.937984496,0.012345679,0,2.952,1.595048968,14.35544071,253.1994915,0.273584535,0.018949182,0.013494114,0,0.032443296,0.032443296,0.047085846,0.940568475,sewa_LTP1,21.55275229,126052.7573
sewa,LWP2,549184.2433,5279743.247,0.023215821,0,0,0,0.002292921,0.010318143,0,0.053023789,0,0,0,0,0,0.003725996,0.016050444,0.006878762,0.758383491,0.126110633,0,2.839090909,3.503073151,40.31718735,104.5496719,0.766735712,0.035826884,0.053023789,0,0.088850674,0.088850674,0.099455431,0.774433935,sewa_LWP2,17.63198624,119581.3884
sewa,MBC1,568352.2606,5283871.715,0.039655172,0,0,0,0.040804598,0.031034483,0,0.009195402,0,0.006321839,0,0,0,0.118103448,0.07816092,0.002873563,0.673850575,0,0,7.060909091,3.512132822,58.04597701,103.8752964,0.811019918,0.111494253,0.009195402,0.006321839,0.120689655,0.127011494,0.247988506,0.752011494,sewa_MBC1,15.99455587,206327.4141
sewa,MBC2,568346.6512,5283838.302,0.036983945,0,0,0,0.038417431,0.02809633,0,0.009174312,0,0.006307339,0,0,0,0.119266055,0.079415138,0.002866972,0.679472477,0,0,6.3075,3.822629969,56.76605505,109.1380442,0.806718636,0.103497706,0.009174312,0.006307339,0.112672018,0.118979358,0.241112385,0.758887615,sewa_MBC2,16.11948424,206327.4141
sewa,MGP1,556220.7474,5281190.793,0.002010916,0,0,0,0,0.005170928,0,0.004021833,0,0.007469118,0,0,0,0,0.081873025,0.008905487,0.427176099,0.463372594,0,1.728,1.595965399,15.89581538,375.173069,1.023696018,0.007181844,0.004021833,0.007469118,0.011203677,0.018672795,0.027578282,0.509049124,sewa_MGP1,9.942186606,106823.0419
sewa,MPO1,567038.8545,5255552.898,0.038837745,0,0,0,0.04976985,0.477848101,0,0.034810127,0,0.000575374,0,0,0,0.033084005,0.020713464,0,0.305235903,0.039125432,0,24.82875,2.557217747,76.52474108,64.63525492,0.857738298,0.566455696,0.034810127,0.000575374,0.601265823,0.601841197,0.634925201,0.325949367,sewa_MPO1,7.25987407,104272.6688
sewa,MSR1,552022.2951,5266500.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001432665,0,0.998567335,0,0,0,0,0,0,0.010813041,0,0,0,0,0,0,1,sewa_MSR1,22.84284485,71570.69766
sewa,MWP1,551267.2934,5267726.08,0,0,0,0,0.001433486,0.013188073,0,0,0,0,0,0,0,0,0.009174312,0.002006881,0.972763761,0.001433486,0,2.61,0.637104995,5.256116208,678.8225099,0.147408514,0.01462156,0,0,0.01462156,0.01462156,0.01662844,0.981938073,sewa_MWP1,22.53850558,84576.9149
sewa,MWP2,551201.3326,5267703.506,0,0,0,0,0.000573066,0.01260745,0,0,0,0,0,0,0,0,0.009169054,0.002005731,0.9747851,0.000859599,0,2.385,0.636739892,4.966571156,678.8225099,0.137573083,0.013180516,0,0,0.013180516,0.013180516,0.015186246,0.983954155,sewa_MWP2,22.57237031,84348.88011
