"","city","site","units_lead","pm2.5_count","avg_ptsdf","prox_heavy_traffic","avg_pnpl","avg_rsei","avg_pwdis","diesel_tons_km2","avg_prmp","avg_ozone","TAWA_LEAD_PCT","TAWA_PM25_PCT","TAWA_PTSDF_PCT","TAWA_TRAFFIC_PCT","TAWA_PNPL_PCT","TAWA_TOXIC_PCT","TAWA_PWDIS_PCT","TAWA_OZONE_PCT","TAWA_DIESEL_PCT","TAWA_PRMP_PCT","TAWA_EXPOSURE","TAWA_RISK","TAWA_BURDEN","TAWA_BURDEN_SCALED","TAWA_BURDEN_PERCENTILE"
"1","tawa","B-TP",292.051727294922,0.401354283094406,0.179999992251396,86991.640625,0.169998183846474,880.153076171875,2.63999993421749e-07,12.1992015838623,0.200029149651527,55.1841239929199,7,6,5,16,18,5,9,33,23,15,16.75,5.625,14.9166666666667,4.72295514511873,12
"2","tawa","G-CBP1",587.589111328125,0.608240246772766,1.56479895114899,118649.421875,0.178760036826134,2027.71643066406,NA,10.187313079834,0.166952699422836,54.8431205749512,30,40,17,25,20,32,NA,29,18,12,29.75,9.875,26.4166666666667,8.36411609498681,30
"3","tawa","G-CLP3",508.200531005859,0.436744540929794,1.32943391799927,121348.5,0.300474256277084,1381.04321289062,NA,14.1710348129272,0.402395099401474,54.3919296264648,25,19,14,26,27,20,NA,7,26,24,18,11.25,19.5,6.17414248021108,17
"4","tawa","G-FP1",924.361877441406,0.435139745473862,3.17654252052307,138523.59375,0.531384408473969,2063.740234375,1.47599994306802e-05,16.3977928161621,0.74531078338623,54.3919296264648,37,18,32,28,33,33,12,8,30,30,22.25,16.5,25.8333333333333,8.17941952506596,27
"5","tawa","G-IP",566.400939941406,0.494505017995834,4.73277187347412,193194.796875,0.801757395267487,3622.73120117188,9.17967554414645e-06,22.3684864044189,1.51410579681396,54.423583984375,28,35,35,34,41,41,11,10,35,33,30.25,17.125,31.5833333333333,10,41
"6","tawa","G-JP",1001.32403564453,0.431182593107224,2.32011675834656,102115.65625,0.359885811805725,1860.50744628906,NA,11.4721212387085,0.395248234272003,54.3919334411621,38,17,25,22,29,28,NA,9,21,23,18.75,14.375,22.0833333333333,6.99208443271768,20
"7","tawa","G-KP1",498.831390380859,0.418147355318069,1.09033143520355,90453.4609375,0.197648614645004,1133.50427246094,NA,8.4035816192627,0.191570580005646,54.6106338500977,24,15,13,17,21,8,NA,16,14,14,13.25,9,14.8333333333333,4.69656992084433,11
"8","tawa","G-OTP",552.407531738281,0.457472681999207,2.13337802886963,186417.328125,0.323993682861328,1182.8310546875,NA,16.5126819610596,0.358697980642319,54.7592277526855,27,26,23,32,28,10,NA,19,32,21,21.75,12.375,22.75,7.20316622691293,23
"9","tawa","G-SB",477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
"10","tawa","G-SERA",396.326629638672,0.470816373825073,2.36002206802368,161581.40625,0.526777803897858,2161.30004882812,1.10000009101441e-08,15.5524253845215,0.579131722450256,54.5822982788086,17,29,26,30,32,34,4,15,27,27,26.25,12.75,26,8.23218997361478,29
"11","tawa","G-SP",593.278503417969,0.474477261304855,2.7154393196106,2e+05,0.633449196815491,2521.01000976562,1.10000000219657e-08,15.8833637237549,0.509427785873413,54.5709762573242,31,30,30,35,38,39,1,14,29,26,28,15.625,29.0833333333333,9.20844327176781,36
"12","tawa","G-TNC1",621.366943359375,0.439851135015488,2.29667091369629,135471.671875,0.42327031493187,1646.5146484375,1.10000000219657e-08,15.626371383667,0.694644570350647,54.3919258117676,32,20,24,27,31,23,2,6,28,28,19.25,14.375,22.4166666666667,7.0976253298153,21
"13","tawa","G-VP",226.020889282227,0.379430204629898,0.568484485149384,76035.3203125,0.15384204685688,1018.81127929688,NA,7.81550264358521,0.144007280468941,55.107292175293,4,5,6,14,15,7,NA,32,13,10,14.25,4.375,12.4166666666667,3.93139841688654,6
"14","tawa","G-WLP1",254.996734619141,0.455983400344849,1.8938285112381,181321.890625,0.229666352272034,994.98388671875,NA,19.7520904541016,0.228734329342842,54.7617721557617,5,24,18,31,23,6,NA,20,34,16,21,7.75,19.1666666666667,6.06860158311346,16
"15","tawa","G-WP2",532.73974609375,0.558541238307953,1.97591626644135,2e+05,0.287159442901611,1162.81689453125,1.10000000219657e-08,12.8251132965088,0.264510303735733,54.8134460449219,26,37,20,36,26,9,3,28,24,17,24.5,11.125,23.75,7.5197889182058,26
"16","tawa","P-BLP",77.8189849853516,0.447197616100311,1.50571441650391,98904.296875,0.137524455785751,1681.01196289062,7.82310235081241e-06,8.47578048706055,0.377753078937531,55.6214866638184,2,23,16,20,14,24,10,36,16,22,24.75,6.75,21,6.6490765171504,19
"17","tawa","P-CCP",584.676391601562,0.462247550487518,2.60417318344116,97831.171875,0.100000001490116,1871.1279296875,4.55969675385859e-05,11.5483951568604,0.314018338918686,55.4027557373047,29,27,29,18,6,29,18,35,22,20,28.25,10.5,25.8333333333333,8.17941952506596,28
"18","tawa","P-CUP",1099.23828125,0.42291185259819,3.05934238433838,59674.01953125,0.40920951962471,1832.01318359375,2.67069990513846e-05,8.46603012084961,0.709764182567596,54.6388206481934,39,16,31,13,30,27,13,17,15,29,18.75,16.125,23.25,7.36147757255937,25
