city,site,season,species,count,lat,long,days.active,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,prop_ndvi_0.5,prop_ndvi_0.6,prop_ndvi_avg,POPDEN2020,med_income,Impervious,city_site,units_lead,pm2.5_count,avg_ptsdf,prox_heavy_traffic,avg_pnpl,avg_rsei,avg_pwdis,diesel_tons_km2,avg_prmp,avg_ozone,LEAD_PCT,PM25_PCT,PTSDF_PCT,TRAFFIC_PCT,PNPL_PCT,TOXIC_PCT,PWDIS_PCT,OZONE_PCT,DIESEL_PCT,PRMP_PCT,EXPOSURE,RISK,BURDEN,BURDEN_SCALED,BURDEN_PERCENTILE
sewa,BGP1,Fall19,Virginia opossum,1,47.66681,-122.28342,32,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Fall19,Eastern gray squirrel,1,47.66681,-122.28342,32,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Spring19,Eastern gray squirrel,2,47.66681,-122.28342,27,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Summer19,Eastern gray squirrel,1,47.66681,-122.28342,31,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Fall20,Coyote,15,47.66616,-122.28327,31,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Fall20,Virginia opossum,15,47.66616,-122.28327,31,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Fall20,Raccoon,12,47.66616,-122.28327,31,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Fall20,Eastern gray squirrel,188,47.66616,-122.28327,31,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Fall20,Eastern cottontail rabbit,12,47.66616,-122.28327,31,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
sewa,BGP1,Spring20,Eastern gray squirrel,2,47.66616,-122.28327,30,0,0,0,0,0,0,0,0.00363331470095025,0,0,0,0,0,0,0.00558971492453885,0.00251537171604248,0.988261598658469,0,0,0.495,1.24215887211974,4.65809577044904,496.416847772038,0.0719682596383672,0,0.00363331470095025,0,0.00363331470095025,0.00363331470095025,0.00614868641699273,0.993851313583007,0.654363300817295,0.294621671500132,0.53296147786643,3211.52905273438,145577.15625,53.5740013122559,sewa_BGP1,1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-5,7.49799251556396,0.147402912378311,47.1617393493652,73,42,46,39,18,59,24,5,24,17,32.5,19.25,34.5,5.56451612903226,30
