city,site,season,species,count,days.active,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop
sewa,BGP1,Fall19,Virginia opossum,1,32,0,0,0,0,0,0,0,0.0036333147009502517,0,0,0,0,0,0,0.005589714924538849,0.002515371716042482,0.9882615986584685,0,0,0.495,1.242158872119744,4.658095770449041,496.41684777203835,0.07196825963836723,0,0.0036333147009502517,0,0.0036333147009502517,0.0036333147009502517,0.006148686416992734,0.9938513135830074
sewa,BRF1,Spring19,Raccoon,3,38,0.007268660889013141,0,0,0,0.016214705060106235,0.009225608051439755,0,0.010343863572826392,0,0.013419066256639646,0,0,0,0.09589041095890412,0.012580374615599665,0.07576181157394465,0.7481129438076601,0.011182555213866371,0,6.119999999999999,3.7275184046221232,56.099151989562955,119.11562871801654,0.6595347129478911,0.03270897400055913,0.010343863572826392,0.013419066256639646,0.04305283757338552,0.05647190383002517,0.22812412636287394,0.7606933184232598
sewa,DOS1,Fall19,Virginia opossum,1,36,0.04991680532445924,0,0,0,0.025790349417637273,0.3704936217415419,0,0.029395452024403773,0,0.018302828618968387,0,0,0,0.14975041597337774,0.1064891846921797,0,0.24625623960066553,0.0036051026067665005,0,26.11125,2.465027423430086,67.66500277315586,60.88525491562421,0.8874770755378873,0.4462007764836384,0.029395452024403773,0.018302828618968387,0.4755962285080422,0.49389905712701054,0.6436494731003883,0.3527454242928452
sewa,DRP2,Fall19,Raccoon,55,31,0.006954102920723226,0,0,0,0.0030598052851182195,0.00278164116828929,0,0,0,0,0,0,0,0,0,0.016968011126564674,0.9413073713490959,0.02892906815020862,0,1.20375,2.472569927368258,17.98794622160408,160.06134515939152,0.2640316846933123,0.012795549374130737,0,0,0.012795549374130737,0.012795549374130737,0.02976356050069541,0.9413073713490959
sewa,DSP1,Fall19,Virginia opossum,14,31,0.017198335644937588,0,0,0,0.25464632454923714,0.04937586685159501,0,0.01581137309292649,0,0.010540915395284327,0,0,0,0.026074895977808602,0.02052704576976422,0.03467406380027739,0.3794729542302358,0,0,14.719999999999999,2.7739251040221915,65.5570966250578,80.91865884391319,1.1298411013175604,0.32122052704576975,0.01581137309292649,0.010540915395284327,0.3370319001386962,0.34757281553398056,0.40832177531206654,0.4
sewa,DWP1,Fall19,Raccoon,5,36,0,0,0,0,0,0,0,0.004735376044568245,0,0.0013927576601671307,0,0,0,0,0,0.003342618384401114,0.9281337047353759,0.06239554317548746,0,3.06,0.3095017022593624,5.942432683379758,NA,0.28645069028347403,0,0.004735376044568245,0.0013927576601671307,0.004735376044568245,0.006128133704735376,0.00947075208913649,0.9281337047353759
sewa,FGL1,Fall19,Raccoon,1,28,0,0,0,0,0.0033426183844011146,0.008356545961002788,0,0.007242339832869081,0,0.00807799442896936,0,0,0,0.0019498607242339834,0.004735376044568246,0.001392757660167131,0.9537604456824512,0.011142061281337049,0,1.635,1.8570102135561748,15.598885793871869,216.92582403567252,0.22670904567165048,0.011699164345403901,0.007242339832869081,0.00807799442896936,0.018941504178272985,0.027019498607242343,0.030362116991643456,0.9584958217270194
sewa,FRD1,Fall19,Coyote,1,35,0.04559440559440559,0,0,0,0.07636363636363636,0.3275524475524475,0,0.03608391608391608,0,0.01958041958041958,0,0,0,0.15104895104895102,0.21706293706293708,0,0.12671328671328672,0,0,30.162857142857142,2.1756021756021755,89.88344988344988,60,0.8697827938579886,0.44951048951048944,0.03608391608391608,0.01958041958041958,0.48559440559440553,0.5051748251748251,0.6562237762237761,0.3437762237762238
sewa,HCN1,Fall19,River otter,1,36,0,0,0,0,0.014432417429919511,0.009436580627255066,0,0.005550929780738273,0,0.002497918401332223,0,0,0,0.010824313072439633,0,0.007493755203996671,0.8529003608104357,0.09686372467388286,0,2.715,1.850309926912758,19.058192247201408,137.3606797749979,0.512087570660738,0.023868998057174576,0.005550929780738273,0.002497918401332223,0.02941992783791285,0.031917846239245075,0.05023591451568138,0.8529003608104357
sewa,HFW1,Fall19,Coyote,2,33,0.019145394006659266,0,0,0,0.01609322974472808,0.02136514983351831,0,0,0,8.324084350721421e-4,0,0,0,0.023862375138734737,0,5.549389567147613e-4,0.9181465038845726,0,0,2.4136363636363636,3.3912936243679868,27.376988531261564,155.06544193812707,0.28327307654374984,0.056603773584905655,0,8.324084350721421e-4,0.056603773584905655,0.0574361820199778,0.0818534961154273,0.9181465038845726
sewa,IRP1,Fall19,Coyote,8,31,0.016925638179800227,0,0,0,0.0022197558268590455,0.03468368479467259,0,0.0013873473917869034,0,0,0,0,0,0.004994450610432854,0,0.004716981132075472,0.9070477247502775,0.028024417314095454,0,2.6325,2.4663953631767175,26.267110617832042,80.67058518075149,0.3662138990345232,0.053829078801331864,0.0013873473917869034,0,0.05521642619311877,0.05521642619311877,0.0649278579356271,0.9070477247502775
sewa,JBP1,Fall19,Coyote,2,46,0.015260821309655935,0,0,0,0.08823529411764705,0.035793562708102106,0,0.004994450610432852,0,0.0016648168701442843,0,0,0,0.08157602663706992,0.005549389567147613,0.0013873473917869032,0.7294672586015538,0.03607103218645948,0,4.640625,4.932790726353434,68.16500184979652,87.47306970866222,0.7162772080813709,0.1392896781354051,0.004994450610432852,0.0016648168701442843,0.14428412874583796,0.14594894561598223,0.22891231964483905,0.7350166481687014
