"YearGroup","County","Emissions","Rank"
"2014","53021020603","5.94","5"
"2014","53021020605","5.94","5"
"2014","53021020606","5.94","5"
"2014","53021020700","3.93","3"
"2014","53021020800","0.81","1"
"2014","53021980100","1.33","2"
"2014","53023970300","0.38","1"
"2014","53025010100","0.56","1"
"2014","53025010200","0.97","1"
"2014","53025010300","0.81","1"
"2014","53025010400","0.88","1"
"2014","53025010500","1.6","2"
"2014","53025010600","1.6","2"
"2014","53025010700","1.83","2"
"2014","53025010800","1.45","2"
"2014","53025010901","2.35","2"
"2014","53025010902","2.35","2"
"2014","53025011000","2.35","2"
"2014","53025011100","2.35","2"
"2014","53025011200","1.6","2"
"2014","53025011300","0.97","1"
"2014","53025011401","0.43","1"
"2014","53025011402","1.13","1"
"2014","53027000200","0.39","1"
"2014","53027000300","0.87","1"
"2014","53027000400","1.1","1"
"2014","53027000500","1.29","2"
"2014","53027000600","1.03","1"
"2014","53027000700","6.58","5"
"2014","53027000800","6.58","5"
"2014","53027000900","6.58","5"
"2014","53027001000","6.58","5"
"2014","53027001100","0.87","1"
"2014","53027001200","6.58","5"
"2014","53027001300","2.91","3"
"2014","53027001400","1","1"
"2014","53027001500","1","1"
"2014","53027001600","2.91","3"
"2014","53027940000","0.11","1"
"2014","53027990000","0.46","1"
"2014","53029970100","1.92","2"
"2014","53029970200","1.92","2"
"2014","53029970300","1.39","2"
"2014","53029970400","2.42","3"
"2014","53029970500","2.42","3"
"2014","53029970601","2.42","3"
"2014","53029970602","2.42","3"
"2014","53029970700","2.42","3"
"2014","53029970800","1.39","2"
"2014","53029970900","1.39","2"
"2014","53029971000","2.42","3"
"2014","53029971100","0.82","1"
"2014","53029971300","0.82","1"
"2014","53029971400","0.93","1"
"2014","53029971500","1.4","2"
"2014","53029971600","0.75","1"
"2014","53029971700","0.75","1"
"2014","53029971800","0.82","1"
"2014","53029971900","0.74","1"
"2014","53029972000","0.78","1"
"2014","53029972100","1.9","2"
"2014","53029992201","3.4","3"
"2014","53031950202","0.79","1"
"2014","53031950300","1.48","2"
"2014","53031950400","4.67","4"
"2014","53031950500","4.67","4"
"2014","53031950601","4.67","4"
"2014","53031950602","4.67","4"
"2014","53031950702","0.22","1"
"2014","53031990000","0.04","1"
"2014","53033000100","4.85","4"
"2014","53033000200","16.53","9"
"2014","53033000300","16.53","9"
"2014","53033000401","16.53","9"
"2014","53033000402","22.27","10"
"2014","53033000500","3.5","3"
"2014","53033000600","22.27","10"
"2014","53033000700","16.53","9"
"2014","53033000800","4.85","4"
"2014","53033000900","4.85","4"
"2014","53033001000","22.27","10"
"2014","53033001100","22.27","10"
"2014","53033001200","22.27","10"
"2014","53033001300","22.27","10"
"2014","53033001400","22.27","10"
"2014","53033001500","12.97","8"
"2014","53033001600","12.97","8"
"2014","53033001701","22.27","10"
"2014","53033001702","22.27","10"
"2014","53033001800","22.27","10"
"2014","53033001900","22.27","10"
"2014","53033002000","22.27","10"
"2014","53033002100","22.27","10"
"2014","53033002200","6.92","6"
"2014","53033002400","4.37","4"
"2014","53033002500","22.27","10"
"2014","53033002600","22.27","10"
"2014","53033002700","22.27","10"
"2014","53033002800","22.27","10"
"2014","53033002900","22.27","10"
"2014","53033003000","12.97","8"
"2014","53033003100","12.97","8"
"2014","53033003200","18.88","9"
"2014","53033003300","12.97","8"
"2014","53033003400","18.88","9"
"2014","53033003500","32.12","10"
"2014","53033003600","22.27","10"
"2014","53033003800","22.27","10"
"2014","53033003900","4.37","4"
"2014","53033004000","11.82","8"
"2014","53033004100","11.82","8"
"2014","53033004200","7.22","6"
"2014","53033004301","32.12","10"
"2014","53033004302","32.12","10"
"2014","53033004400","32.12","10"
"2014","53033004500","32.12","10"
"2014","53033004600","32.12","10"
"2014","53033004700","18.88","9"
"2014","53033004800","18.88","9"
"2014","53033004900","32.12","10"
"2014","53033005000","32.12","10"
"2014","53033005100","32.12","10"
"2014","53033005200","32.12","10"
"2014","53033005301","32.12","10"
"2014","53033005302","32.12","10"
"2014","53033005400","32.12","10"
"2014","53033005600","40.07","10"
"2014","53033005700","18.88","9"
"2014","53033005801","18.88","9"
"2014","53033005802","40.07","10"
"2014","53033005900","18.88","9"
"2014","53033006000","32.12","10"
"2014","53033006100","32.12","10"
"2014","53033006200","55.62","10"
"2014","53033006300","7.22","6"
"2014","53033006400","55.62","10"
"2014","53033006500","55.62","10"
"2014","53033006600","55.62","10"
"2014","53033006700","55.62","10"
"2014","53033006800","55.62","10"
"2014","53033006900","40.07","10"
"2014","53033007000","55.62","10"
"2014","53033007100","55.62","10"
"2014","53033007200","55.62","10"
"2014","53033007300","55.62","10"
"2014","53033007401","55.62","10"
"2014","53033007402","55.62","10"
"2014","53033007500","55.62","10"
"2014","53033007600","55.62","10"
"2014","53033007700","55.62","10"
"2014","53033007800","4.19","4"
"2014","53033007900","55.62","10"
"2014","53033008001","55.62","10"
"2014","53033008002","55.62","10"
"2014","53033008100","55.62","10"
"2014","53033008200","55.62","10"
"2014","53033008300","55.62","10"
"2014","53033008400","55.62","10"
"2014","53033008500","55.62","10"
"2014","53033008600","55.62","10"
"2014","53033008700","55.62","10"
"2014","53033008800","55.62","10"
"2014","53033008900","66.51","10"
"2014","53033009000","66.51","10"
"2014","53033009100","66.51","10"
"2014","53033009200","55.62","10"
"2014","53033009300","66.51","10"
"2014","53033009400","66.51","10"
"2014","53033009500","66.51","10"
"2014","53033009600","51.13","10"
"2014","53033009701","51.13","10"
"2014","53033009702","51.13","10"
"2014","53033009800","51.13","10"
"2014","53033009900","66.51","10"
"2014","53033010001","66.51","10"
"2014","53033010002","66.51","10"
"2014","53033010100","9.32","6"
"2014","53033010200","9.32","6"
"2014","53033010300","9.32","6"
"2014","53033010401","66.51","10"
"2014","53033010402","66.51","10"
"2014","53033010500","51.13","10"
"2014","53033010600","51.13","10"
"2014","53033010701","12.32","8"
"2014","53033010702","12.32","8"
"2014","53033010800","66.51","10"
"2014","53033010900","24.9","10"
"2014","53033011001","7.31","6"
"2014","53033011002","24.9","10"
"2014","53033011101","7.31","6"
"2014","53033011102","7.31","6"
"2014","53033011200","24.9","10"
"2014","53033011300","24.9","10"
"2014","53033011401","12.32","8"
"2014","53033011402","12.32","8"
"2014","53033011500","12.32","8"
"2014","53033011600","12.32","8"
"2014","53033011700","24.9","10"
"2014","53033011800","13.3","8"
"2014","53033011900","13.3","8"
"2014","53033012000","7.18","6"
"2014","53033012100","12.32","8"
"2014","53033020100","4.12","3"
"2014","53033020200","14.85","8"
"2014","53033020300","14.85","8"
"2014","53033020401","14.85","8"
"2014","53033020402","14.85","8"
"2014","53033020500","14.85","8"
"2014","53033020600","14.85","8"
"2014","53033020700","14.85","8"
"2014","53033020800","14.85","8"
"2014","53033020900","16.53","9"
"2014","53033021000","16.53","9"
"2014","53033021100","16.53","9"
"2014","53033021300","16.53","9"
"2014","53033021400","16.53","9"
"2014","53033021500","5.51","5"
"2014","53033021600","5.51","5"
"2014","53033021700","8.81","6"
"2014","53033021802","12.16","8"
"2014","53033021803","8.81","6"
"2014","53033021804","12.16","8"
"2014","53033021903","15.47","9"
"2014","53033021904","7.09","6"
"2014","53033021905","12.16","8"
"2014","53033021906","12.16","8"
"2014","53033022001","12.16","8"
"2014","53033022003","10.6","7"
"2014","53033022005","15.47","9"
"2014","53033022006","15.47","9"
"2014","53033022101","10.6","7"
"2014","53033022102","10.6","7"
"2014","53033022201","10.6","7"
"2014","53033022202","10.6","7"
"2014","53033022203","10.6","7"
"2014","53033022300","10.6","7"
"2014","53033022400","15.47","9"
"2014","53033022500","15.47","9"
"2014","53033022603","15.47","9"
"2014","53033022604","15.47","9"
"2014","53033022605","15.47","9"
"2014","53033022606","15.47","9"
"2014","53033022701","11.82","8"
"2014","53033022702","11.82","8"
"2014","53033022703","9.99","7"
"2014","53033022801","15.39","9"
"2014","53033022802","15.47","9"
"2014","53033022803","15.39","9"
"2014","53033022901","15.39","9"
"2014","53033022902","8.91","6"
"2014","53033023000","15.39","9"
"2014","53033023100","5.89","5"
"2014","53033023201","15.39","9"
"2014","53033023202","4.59","4"
"2014","53033023300","20","9"
"2014","53033023401","20","9"
"2014","53033023403","20","9"
"2014","53033023404","10.99","7"
"2014","53033023500","20","9"
"2014","53033023601","20.59","10"
"2014","53033023603","15.39","9"
"2014","53033023604","20","9"
"2014","53033023700","20.59","10"
"2014","53033023801","20.59","10"
"2014","53033023803","20.59","10"
"2014","53033023804","20.59","10"
"2014","53033023900","20.59","10"
"2014","53033024000","20.59","10"
"2014","53033024100","20.59","10"
"2014","53033024200","20.59","10"
"2014","53033024300","20.59","10"
"2014","53033024400","11.82","7"
"2014","53033024500","11.82","7"
"2014","53033024601","11.82","7"
"2014","53033024602","13.3","8"
"2014","53033024701","20","9"
"2014","53033024702","10.54","7"
"2014","53033024800","20","9"
"2014","53033024901","20","9"
"2014","53033024902","20","9"
"2014","53033024903","6.1","5"
"2014","53033025001","20","9"
"2014","53033025003","6.09","5"
"2014","53033025005","6.1","5"
"2014","53033025006","10.99","7"
"2014","53033025101","5.29","4"
"2014","53033025102","5.29","4"
"2014","53033025200","10.54","7"
"2014","53033025301","18.14","9"
"2014","53033025302","18.14","9"
"2014","53033025400","18.14","9"
"2014","53033025500","5.29","4"
"2014","53033025601","18.14","9"
"2014","53033025602","8.69","6"
"2014","53033025701","18.14","9"
"2014","53033025702","18.14","9"
"2014","53033025803","18.14","9"
"2014","53033025804","18.14","9"
"2014","53033025805","18.14","9"
"2014","53033025806","18.14","9"
"2014","53033026001","18.14","9"
"2014","53033026002","21.4","10"
"2014","53033026100","21.4","10"
"2014","53033026200","21.4","10"
"2014","53033026300","24.9","10"
"2014","53033026400","24.9","10"
"2014","53033026500","11.51","7"
"2014","53033026600","7.18","6"
"2014","53033026700","11.51","7"
"2014","53033026801","11.51","7"
"2014","53033026802","11.51","7"
"2014","53033027000","11.51","7"
"2014","53033027100","21.4","10"
"2014","53033027200","21.4","10"
"2014","53033027300","21.4","10"
"2014","53033027400","11.51","7"
"2014","53033027500","11.51","7"
"2014","53033027600","11.51","7"
"2014","53033027701","0.77","1"
"2014","53033027702","0.77","1"
"2014","53033027800","10.57","7"
"2014","53033027900","10.57","7"
"2014","53033028000","10.57","7"
"2014","53033028100","21.4","10"
"2014","53033028200","21.4","10"
"2014","53033028300","21.4","10"
"2014","53033028402","21.4","10"
"2014","53033028403","16.12","9"
"2014","53033028500","10.57","7"
"2014","53033028600","12.31","8"
"2014","53033028700","12.31","8"
"2014","53033028801","12.31","8"
"2014","53033028802","16.12","9"
"2014","53033028901","12.31","8"
"2014","53033028902","13.25","8"
"2014","53033029001","12.31","8"
"2014","53033029003","12.31","8"
"2014","53033029004","13.25","8"
"2014","53033029101","16.12","9"
"2014","53033029102","13.25","8"
"2014","53033029203","13.25","8"
"2014","53033029204","12.75","8"
"2014","53033029205","13.25","8"
"2014","53033029206","16.12","9"
"2014","53033029303","12.75","8"
"2014","53033029304","12.75","8"
"2014","53033029305","12.75","8"
"2014","53033029306","12.75","8"
"2014","53033029307","5.52","5"
"2014","53033029403","12.75","8"
"2014","53033029405","12.75","8"
"2014","53033029406","12.72","8"
"2014","53033029407","12.72","8"
"2014","53033029408","12.72","8"
"2014","53033029502","12.72","8"
"2014","53033029503","12.72","8"
"2014","53033029504","12.72","8"
"2014","53033029601","7.38","6"
"2014","53033029602","7.38","6"
"2014","53033029700","13.25","8"
"2014","53033029801","13.25","8"
"2014","53033029802","15.11","9"
"2014","53033029901","15.11","9"
"2014","53033029902","11.36","7"
"2014","53033030003","15.11","9"
"2014","53033030004","11.68","7"
"2014","53033030005","15.11","9"
"2014","53033030006","15.11","9"
"2014","53033030100","15.11","9"
"2014","53033030201","15.11","9"
"2014","53033030202","15.11","9"
"2014","53033030304","13.82","8"
"2014","53033030305","4.55","4"
"2014","53033030306","12.83","8"
"2014","53033030308","15.11","9"
"2014","53033030309","15.11","9"
"2014","53033030310","13.82","8"
"2014","53033030311","4.55","4"
"2014","53033030312","12.83","8"
"2014","53033030313","15.11","9"
"2014","53033030314","15.11","9"
"2014","53033030401","15.11","9"
"2014","53033030403","13.82","8"
"2014","53033030404","13.82","8"
"2014","53033030501","11.36","7"
"2014","53033030503","7.38","6"
"2014","53033030504","7.21","6"
"2014","53033030600","9.4","6"
"2014","53033030700","9.4","6"
"2014","53033030801","10.97","7"
"2014","53033030802","9.4","6"
"2014","53033030901","10.97","7"
"2014","53033030902","10.97","7"
"2014","53033031000","9.4","6"
"2014","53033031100","9.4","6"
"2014","53033031202","1.63","2"
"2014","53033031204","6.83","6"
"2014","53033031205","7.21","6"
"2014","53033031206","7.21","6"
"2014","53033031301","2.33","2"
"2014","53033031302","2.33","2"
"2014","53033031400","2.33","2"
"2014","53033031501","1.39","2"
"2014","53033031502","2.33","2"
"2014","53033031601","6.83","6"
"2014","53033031603","6.36","5"
"2014","53033031604","6.36","5"
"2014","53033031605","6.36","5"
"2014","53033031703","6.63","5"
"2014","53033031704","6.83","6"
"2014","53033031705","6.83","6"
"2014","53033031706","6.83","6"
"2014","53033031800","5.52","5"
"2014","53033031903","8.69","6"
"2014","53033031904","2.58","3"
"2014","53033031906","2.58","3"
"2014","53033031907","8.69","6"
"2014","53033031908","8.69","6"
"2014","53033031909","5.52","5"
"2014","53033032002","5.06","4"
"2014","53033032003","5.06","4"
"2014","53033032005","6.83","6"
"2014","53033032006","6.83","6"
"2014","53033032007","6.83","6"
"2014","53033032008","6.36","5"
"2014","53033032010","6.36","5"
"2014","53033032011","6.36","5"
"2014","53033032102","10.99","7"
"2014","53033032103","10.99","7"
"2014","53033032104","10.99","7"
"2014","53033032203","5.89","5"
"2014","53033032207","5.89","5"
"2014","53033032208","10.99","7"
"2014","53033032210","10.99","7"
"2014","53033032211","4.52","4"
"2014","53033032212","10.99","7"
"2014","53033032213","4.52","4"
"2014","53033032214","4.84","4"
"2014","53033032215","4.52","4"
"2014","53033032307","2.25","2"
"2014","53033032309","15.47","9"
"2014","53033032311","2.34","2"
"2014","53033032313","8.91","6"
"2014","53033032315","3.86","3"
"2014","53033032316","8.91","6"
"2014","53033032317","4.84","4"
"2014","53033032318","4.84","4"
"2014","53033032319","12.16","8"
"2014","53033032320","12.16","8"
"2014","53033032321","15.47","9"
"2014","53033032322","2.25","2"
"2014","53033032323","6.77","6"
"2014","53033032324","6.77","6"
"2014","53033032325","8.91","6"
"2014","53033032326","6.77","6"
"2014","53033032327","6.77","6"
"2014","53033032328","3.86","3"
"2014","53033032329","3.86","3"
"2014","53033032401","2.21","2"
"2014","53033032402","2.21","2"
"2014","53033032500","2.66","3"
"2014","53033032601","2.57","3"
"2014","53033032602","3.82","3"
"2014","53033032702","3.82","3"
"2014","53033032703","3.82","3"
"2014","53033032704","2.57","3"
"2014","53033032800","2.57","3"
"2014","53033990100","66.51","10"
"2014","53035080101","5.36","4"
"2014","53035080102","5.36","4"
"2014","53035080200","5.36","4"
"2014","53035080300","5.36","4"
"2014","53035080400","1.92","2"
"2014","53035080500","5.36","4"
"2014","53035080600","5.36","4"
"2014","53035080700","5.36","4"
"2014","53035080800","5.36","4"
"2014","53035080900","5.36","4"
"2014","53035081000","5.36","4"
"2014","53035081100","5.36","4"
"2014","53035081200","5.36","4"
"2014","53035081400","5.36","4"
"2014","53035090101","1.57","2"
"2014","53035090102","1.3","2"
"2014","53035090201","3.02","3"
"2014","53035090202","3.02","3"
"2014","53035090300","3.77","3"
"2014","53035090400","5.28","4"
"2014","53035090501","4.02","3"
"2014","53035090502","4.02","3"
"2014","53035090700","1.66","2"
"2014","53035090800","1.66","2"
"2014","53035090900","1.66","2"
"2014","53035091000","1.92","2"
"2014","53035091100","4.1","3"
"2014","53035091201","5.28","4"
"2014","53035091203","4.1","3"
"2014","53035091204","5.28","4"
"2014","53035091301","0.6","1"
"2014","53035091302","5.28","4"
"2014","53035091400","5.28","4"
"2014","53035091500","5.28","4"
"2014","53035091600","4.1","3"
"2014","53035091700","4.1","3"
"2014","53035091800","1.92","2"
"2014","53035091900","3.89","3"
"2014","53035092000","4.04","3"
"2014","53035092100","5.15","4"
"2014","53035092200","5.15","4"
"2014","53035092300","5.15","4"
"2014","53035092400","2.11","2"
"2014","53035092500","5.15","4"
"2014","53035092600","1.85","2"
"2014","53035092701","2.11","2"
"2014","53035092704","1.37","2"
"2014","53035092801","4.44","4"
"2014","53035092802","1.12","1"
"2014","53035092803","3.5","3"
"2014","53035092901","4.44","4"
"2014","53035092902","4.44","4"
"2014","53035940000","1.39","2"
"2014","53035940100","1.7","2"
"2014","53035990100","1.47","2"
"2014","53037975100","2.62","3"
"2014","53037975200","4.18","4"
"2014","53037975300","3.01","3"
"2014","53037975401","4.18","4"
"2014","53037975402","4.18","4"
"2014","53037975500","4.18","4"
"2014","53037975600","4.18","4"
"2014","53037975700","2.27","2"
"2014","53039950100","1.63","2"
"2014","53039950200","1.67","2"
"2014","53039950300","2.02","2"
"2014","53041970100","3.05","3"
"2014","53041970200","5.43","5"
"2014","53041970300","5.43","5"
"2014","53041970400","5.43","5"
"2014","53041970500","5.43","5"
"2014","53041970600","5.43","5"
"2014","53041970700","5.43","5"
"2014","53041970800","5.43","5"
"2014","53041970900","4.93","4"
"2014","53041971000","4.93","4"
"2014","53041971100","5.43","5"
"2014","53041971200","0.52","1"
"2014","53041971300","3.36","3"
"2014","53041971400","4.93","4"
"2014","53041971500","3.36","3"
"2014","53041971600","2.19","2"
"2014","53041971700","2.22","2"
"2014","53041971800","0.47","1"
"2014","53041971900","0.39","1"
"2014","53041972000","0.26","1"
"2014","53043960100","0.67","1"
"2014","53043960200","0.75","1"
"2014","53043960300","0.49","1"
"2014","53043960400","1.99","2"
"2014","53045940000","0.42","1"
"2014","53045960100","0.2","1"
"2014","53045960200","1.26","2"
"2014","53045960300","1.26","2"
"2014","53045960400","1.26","2"
"2014","53045960500","0.58","1"
"2014","53045960600","1.26","2"
"2014","53045960700","1.03","1"
"2014","53045960800","1.39","2"
"2014","53045960900","1.39","2"
"2014","53045961000","1.39","2"
"2014","53045961100","1.39","2"
"2014","53045961200","0.58","1"
"2014","53045961300","1.39","2"
"2014","53047940100","0.46","1"
"2014","53047940200","1.18","1"
"2014","53047970300","0.41","1"
"2014","53047970400","0.41","1"
"2014","53047970500","0.59","1"
"2014","53047970600","1.18","1"
"2014","53047970700","1.18","1"
"2014","53047970800","0.6","1"
"2014","53047970900","0.27","1"
"2014","53047971000","0.41","1"
"2014","53049950200","0.49","1"
"2014","53049950300","0.49","1"
"2014","53049950400","0.47","1"
"2014","53049950500","0.47","1"
"2014","53049950600","0.47","1"
"2014","53049950700","0.27","1"
"2014","53049950800","0.27","1"
"2014","53049990100","0.47","1"
"2014","53051970100","0.18","1"
"2014","53051970200","0.43","1"
"2014","53051970300","0.43","1"
"2014","53051970400","0.39","1"
"2014","53051970500","0.3","1"
"2014","53053060200","27.71","10"
"2014","53053060300","5.75","5"
"2014","53053060400","4.88","4"
"2014","53053060500","4.88","4"
"2014","53053060600","14.01","8"
"2014","53053060700","14.01","8"
"2014","53053060800","14.01","8"
"2014","53053060903","5.75","5"
"2014","53053060904","5.75","5"
"2014","53053060905","10.91","7"
"2014","53053060906","14.01","8"
"2014","53053061001","10.91","7"
"2014","53053061002","14.01","8"
"2014","53053061100","14.01","8"
"2014","53053061200","14.01","8"
"2014","53053061300","27.71","10"
"2014","53053061400","27.71","10"
"2014","53053061500","27.71","10"
"2014","53053061601","27.71","10"
"2014","53053061602","27.71","10"
"2014","53053061700","27.71","10"
"2014","53053061800","27.71","10"
"2014","53053061900","27.71","10"
"2014","53053062000","27.71","10"
"2014","53053062300","8.8","6"
"2014","53053062400","8.8","6"
"2014","53053062500","27.71","10"
"2014","53053062600","27.71","10"
"2014","53053062801","14.01","8"
"2014","53053062802","18.73","9"
"2014","53053062900","18.73","9"
"2014","53053063000","18.73","9"
"2014","53053063100","12.9","8"
"2014","53053063200","8.8","6"
"2014","53053063300","8.8","6"
"2014","53053063400","10.58","7"
"2014","53053063501","18.73","9"
"2014","53053063502","18.73","9"
"2014","53053070100","3.36","3"
"2014","53053070203","4.77","4"
"2014","53053070204","2.06","2"
"2014","53053070205","1.74","2"
"2014","53053070206","2.06","2"
"2014","53053070207","1.31","2"
"2014","53053070307","3.62","3"
"2014","53053070308","5.52","5"
