"Model","K","logLik","AICc","delta"
"coymodeff","+",-514.869,1061.62,0
"coymodpnpl","+",-518.375,1061.96,0.34
"coymodtsdf","+",-519.892,1064.993,3.373
"coymodwater","+",-520.27,1065.75,4.13
"coymodrsei","+",-520.521,1066.251,4.631
"coymodpm","+",-520.743,1066.696,5.076
"coymodglobal","+",-514.332,1067.379,5.759
"coymodexp","+",-519.017,1067.675,6.054
"coymoddies","+",-521.363,1067.935,6.315
"coymodlead","+",-521.809,1068.828,7.208
