station,season,species,photodate,phototime
DRP2,Summer20,Procyon lotor,2020-07-01,19:50:29
DRP2,Summer20,Procyon lotor,2020-07-02,03:33:12
DRP2,Fall20,Procyon lotor,2020-10-02,03:07:07
DRP2,Fall20,Procyon lotor,2020-10-02,03:08:42
DRP2,Fall20,Procyon lotor,2020-10-03,00:19:30
DRP2,Fall20,Procyon lotor,2020-10-03,01:45:19
DRP2,Fall20,Procyon lotor,2020-10-03,03:48:19
DRP2,Fall20,Procyon lotor,2020-10-03,21:31:29
DRP2,Fall20,Procyon lotor,2020-10-04,06:51:58
DRP2,Fall20,Procyon lotor,2020-10-04,23:37:37
DRP2,Fall20,Procyon lotor,2020-10-05,07:04:37
DRP2,Fall20,Procyon lotor,2020-10-06,06:30:34
DRP2,Fall20,Procyon lotor,2020-10-06,19:04:08
DRP2,Fall20,Procyon lotor,2020-10-08,01:53:46
