station,season,species,capture.count
DRP2,Winter20,Odocoileus hemionus,0
DRP2,Winter20,Procyon lotor,35
DRP2,Winter20,Ursus americanus,0
DRP2,Spring20,Canis latrans,0
DRP2,Spring20,Didelphis virginiana,0
DRP2,Spring20,Lontra canadensis,0
DRP2,Spring20,Lynx rufus,0
DRP2,Spring20,Mephitis mephitis,0
DRP2,Spring20,Odocoileus hemionus,0
DRP2,Spring20,Procyon lotor,30
DRP2,Spring20,Ursus americanus,0
DRP2,Summer20,Canis latrans,0
DRP2,Summer20,Didelphis virginiana,0
DRP2,Summer20,Lontra canadensis,0
DRP2,Summer20,Lynx rufus,0
DRP2,Summer20,Mephitis mephitis,0
DRP2,Summer20,Odocoileus hemionus,0
DRP2,Summer20,Procyon lotor,58
DRP2,Summer20,Ursus americanus,0
DRP2,Fall20,Canis latrans,2
DRP2,Fall20,Didelphis virginiana,0
DRP2,Fall20,Lontra canadensis,0
DRP2,Fall20,Lynx rufus,0
DRP2,Fall20,Mephitis mephitis,0
DRP2,Fall20,Odocoileus hemionus,0
DRP2,Fall20,Procyon lotor,54
DRP2,Fall20,Ursus americanus,0
DSP1,Spring19,Canis latrans,0
DSP1,Spring19,Didelphis virginiana,10
DSP1,Spring19,Lontra canadensis,0
DSP1,Spring19,Lynx rufus,0
DSP1,Spring19,Mephitis mephitis,0
DSP1,Spring19,Odocoileus hemionus,0
DSP1,Spring19,Procyon lotor,1
DSP1,Spring19,Ursus americanus,0
DSP1,Summer19,Canis latrans,0
DSP1,Summer19,Didelphis virginiana,7
DSP1,Summer19,Lontra canadensis,0
DSP1,Summer19,Lynx rufus,0
DSP1,Summer19,Mephitis mephitis,0
DSP1,Summer19,Odocoileus hemionus,0
DSP1,Summer19,Procyon lotor,1
DSP1,Summer19,Ursus americanus,0
DSP1,Fall19,Canis latrans,0
DSP1,Fall19,Didelphis virginiana,15
DSP1,Fall19,Lontra canadensis,0
DSP1,Fall19,Lynx rufus,0
DSP1,Fall19,Mephitis mephitis,0
DSP1,Fall19,Odocoileus hemionus,0
DSP1,Fall19,Procyon lotor,7
DSP1,Fall19,Ursus americanus,0
DSP1,Winter20,Canis latrans,0
DSP1,Winter20,Didelphis virginiana,0
DSP1,Winter20,Lontra canadensis,0
DSP1,Winter20,Lynx rufus,0
DSP1,Winter20,Mephitis mephitis,0
DSP1,Winter20,Odocoileus hemionus,0
DSP1,Winter20,Procyon lotor,2
DSP1,Winter20,Ursus americanus,0
DSP1,Spring20,Canis latrans,0
DSP1,Spring20,Didelphis virginiana,0
DSP1,Spring20,Lontra canadensis,0
DSP1,Spring20,Lynx rufus,0
DSP1,Spring20,Mephitis mephitis,0
DSP1,Spring20,Odocoileus hemionus,0
DSP1,Spring20,Procyon lotor,4
DSP1,Spring20,Ursus americanus,0
DSP1,Summer20,Canis latrans,1
DSP1,Summer20,Didelphis virginiana,0
DSP1,Summer20,Lontra canadensis,0
DSP1,Summer20,Lynx rufus,0
DSP1,Summer20,Mephitis mephitis,0
DSP1,Summer20,Odocoileus hemionus,0
DSP1,Summer20,Procyon lotor,4
DSP1,Summer20,Ursus americanus,0
DSP1,Fall20,Canis latrans,2
DSP1,Fall20,Didelphis virginiana,0
DSP1,Fall20,Lontra canadensis,0
DSP1,Fall20,Lynx rufus,0
DSP1,Fall20,Mephitis mephitis,0
DSP1,Fall20,Odocoileus hemionus,0
DSP1,Fall20,Procyon lotor,3
DSP1,Fall20,Ursus americanus,0
DWP1,Spring19,Canis latrans,0
DWP1,Spring19,Didelphis virginiana,0
DWP1,Spring19,Lontra canadensis,0
DWP1,Spring19,Lynx rufus,0
DWP1,Spring19,Mephitis mephitis,0
DWP1,Spring19,Odocoileus hemionus,0
DWP1,Spring19,Procyon lotor,0
DWP1,Spring19,Ursus americanus,0
DWP1,Summer19,Canis latrans,0
DWP1,Summer19,Didelphis virginiana,0
DWP1,Summer19,Lontra canadensis,0
DWP1,Summer19,Lynx rufus,0
DWP1,Summer19,Mephitis mephitis,3
DWP1,Summer19,Odocoileus hemionus,0
DWP1,Summer19,Procyon lotor,0
DWP1,Summer19,Ursus americanus,0
DWP1,Fall19,Canis latrans,0
DWP1,Fall19,Didelphis virginiana,0
DWP1,Fall19,Lontra canadensis,0
DWP1,Fall19,Lynx rufus,0
DWP1,Fall19,Mephitis mephitis,0
DWP1,Fall19,Odocoileus hemionus,0
DWP1,Fall19,Procyon lotor,6
DWP1,Fall19,Ursus americanus,0
FGL1,Spring19,Canis latrans,0
FGL1,Spring19,Didelphis virginiana,0
FGL1,Spring19,Lontra canadensis,0
FGL1,Spring19,Lynx rufus,0
FGL1,Spring19,Mephitis mephitis,0
